,unix,symbol,open,high,low,close,Volume USD
315,2020-03-11,LTC/USD,50.34,50.76,45.49,48.6,4593262.58
316,2020-03-10,LTC/USD,50.46,51.47,48.78,50.14,2179536.63
317,2020-03-09,LTC/USD,51.46,52.53,46.21,50.46,6260668.58
318,2020-03-08,LTC/USD,60.5,60.5,50.22,51.09,4902962.41
319,2020-03-07,LTC/USD,63.43,63.98,60.1,60.51,1937915.0
320,2020-03-06,LTC/USD,62.18,63.85,61.3,63.29,3467738.8
321,2020-03-05,LTC/USD,60.62,63.34,60.58,61.86,2599092.02
322,2020-03-04,LTC/USD,60.92,61.81,58.82,60.28,2114043.9
323,2020-03-03,LTC/USD,61.36,62.53,59.47,60.87,3480723.26
324,2020-03-02,LTC/USD,57.44,62.41,57.26,61.38,3390270.18
325,2020-03-01,LTC/USD,58.24,60.34,56.15,57.9,1897000.76
326,2020-02-29,LTC/USD,60.11,61.61,57.97,58.13,1649114.52
327,2020-02-28,LTC/USD,61.78,63.58,56.71,60.02,4049024.45
328,2020-02-27,LTC/USD,60.56,65.43,57.12,61.59,4850709.67
329,2020-02-26,LTC/USD,71.22,71.9,57.49,60.56,7827811.88
330,2020-02-25,LTC/USD,75.83,75.85,69.58,70.73,3050729.32
331,2020-02-24,LTC/USD,79.3,80.0,71.74,75.63,3699184.75
332,2020-02-23,LTC/USD,74.88,80.29,74.84,79.77,3690561.68
333,2020-02-22,LTC/USD,73.42,76.85,63.5,75.09,3183479.39
334,2020-02-21,LTC/USD,69.27,75.38,68.7,73.44,2050210.47
335,2020-02-20,LTC/USD,70.25,72.31,65.77,69.68,3158786.44
336,2020-02-19,LTC/USD,76.87,79.78,67.37,70.61,5373493.75
337,2020-02-18,LTC/USD,73.23,79.13,70.36,77.3,3252252.94
338,2020-02-17,LTC/USD,74.72,75.44,68.68,73.4,3567157.51
339,2020-02-16,LTC/USD,76.68,80.49,67.17,74.99,4057265.77
340,2020-02-15,LTC/USD,83.45,83.55,74.99,76.53,4677510.48
341,2020-02-14,LTC/USD,80.55,83.78,78.7,83.25,2323009.46
342,2020-02-13,LTC/USD,81.51,84.44,77.11,80.49,4998042.55
343,2020-02-12,LTC/USD,77.11,82.98,76.85,81.25,4935281.14
344,2020-02-11,LTC/USD,73.97,77.54,72.62,77.0,2274174.68
345,2020-02-10,LTC/USD,77.22,77.52,72.28,74.27,2483162.2
346,2020-02-09,LTC/USD,76.77,78.5,75.0,77.13,1537143.42
347,2020-02-08,LTC/USD,74.2,78.0,71.59,76.79,2307066.2
348,2020-02-07,LTC/USD,73.56,75.45,72.76,74.34,2488002.77
349,2020-02-06,LTC/USD,72.55,74.99,70.95,73.38,2873203.42
350,2020-02-05,LTC/USD,68.0,73.45,67.52,72.44,2711893.19
351,2020-02-04,LTC/USD,69.5,70.27,66.49,67.84,1793450.39
352,2020-02-03,LTC/USD,69.66,72.93,68.5,69.58,1574884.51
353,2020-02-02,LTC/USD,70.76,73.4,67.62,69.67,1967009.91
354,2020-02-01,LTC/USD,67.6,72.76,67.59,70.71,2228758.46
355,2020-01-31,LTC/USD,67.85,69.89,65.35,67.83,2602472.11
356,2020-01-30,LTC/USD,59.43,70.17,57.98,68.04,3956720.6
357,2020-01-29,LTC/USD,60.45,62.38,59.52,59.87,1229918.31
358,2020-01-28,LTC/USD,58.68,61.48,57.19,60.76,1784796.17
359,2020-01-27,LTC/USD,56.32,59.5,55.83,58.57,1154236.78
360,2020-01-26,LTC/USD,53.01,56.48,52.78,56.22,948235.85
361,2020-01-25,LTC/USD,54.2,54.33,52.18,53.29,498571.04
362,2020-01-24,LTC/USD,54.39,55.29,50.47,54.15,1438368.34
363,2020-01-23,LTC/USD,58.19,58.19,52.2,54.38,1826376.61
364,2020-01-22,LTC/USD,57.61,59.13,57.15,58.06,702406.6
365,2020-01-21,LTC/USD,57.1,58.0,55.8,57.68,663994.49
